figure,panel,record_type,series,x_label,x,y,ci_low,ci_high,n,inferential_unit,interval_type,endpoint,source_table
S30,A,source_index,,,,,,,,,,,source_data/microns_v661_replication/cohort_manifest.csv
S30,A,source_index,,,,,,,,,,,source_data/microns_v661_replication/replication_summary.json
S30,A,source_index,,,,,,,,,,,source_data/microns_v661_replication/supp_figure_focal_cells.csv
S30,A,source_index,,,,,,,,,,,source_data/microns_v661_replication/supp_figure_routing_curves.csv
S30,B,source_index,,,,,,,,,,,source_data/microns_v661_replication/cohort_manifest.csv
S30,B,source_index,,,,,,,,,,,source_data/microns_v661_replication/replication_summary.json
S30,B,source_index,,,,,,,,,,,source_data/microns_v661_replication/supp_figure_focal_cells.csv
S30,B,source_index,,,,,,,,,,,source_data/microns_v661_replication/supp_figure_routing_curves.csv
S30,C,source_index,,,,,,,,,,,source_data/microns_v661_replication/cohort_manifest.csv
S30,C,source_index,,,,,,,,,,,source_data/microns_v661_replication/replication_summary.json
S30,C,source_index,,,,,,,,,,,source_data/microns_v661_replication/supp_figure_focal_cells.csv
S30,C,source_index,,,,,,,,,,,source_data/microns_v661_replication/supp_figure_routing_curves.csv
S30,D,source_index,,,,,,,,,,,source_data/focal_selectivity_active_ensemble/cell_condition_metrics.csv
S30,D,source_index,,,,,,,,,,,source_data/focal_selectivity_active_ensemble/condition_summary.csv
S30,D,source_index,,,,,,,,,,,source_data/focal_selectivity_active_ensemble/paired_contrasts.csv
S30,D,source_index,,,,,,,,,,,source_data/focal_selectivity_phase1/condition_summary.csv
S30,E,source_index,,,,,,,,,,,source_data/focal_selectivity_active_ensemble/cell_condition_metrics.csv
S30,E,source_index,,,,,,,,,,,source_data/focal_selectivity_active_ensemble/condition_summary.csv
S30,E,source_index,,,,,,,,,,,source_data/focal_selectivity_active_ensemble/paired_contrasts.csv
S30,E,source_index,,,,,,,,,,,source_data/focal_selectivity_phase1/condition_summary.csv
