figure,panel,record_type,series,x_label,x,y,ci_low,ci_high,n,inferential_unit,interval_type,endpoint,source_table
S25,A,source_index,,,,,,,,,,,source_data/microns_v661_replication/cohort_manifest.csv
S25,A,source_index,,,,,,,,,,,source_data/microns_v661_replication/replication_summary.json
S25,A,source_index,,,,,,,,,,,source_data/microns_v661_replication/supp_figure_focal_cells.csv
S25,A,source_index,,,,,,,,,,,source_data/microns_v661_replication/supp_figure_routing_curves.csv
S25,B,source_index,,,,,,,,,,,source_data/figure3/typed_only_compression_curves.csv
S25,C,source_index,,,,,,,,,,,source_data/pinky_v185_replication/cohort_manifest.csv
S25,C,source_index,,,,,,,,,,,source_data/pinky_v185_replication/routing/feedback_compression_curves.csv
S25,C,source_index,,,,,,,,,,,source_data/pinky_v185_replication/routing/k4_cross_animal_contrasts.csv
S25,C,source_index,,,,,,,,,,,source_data/pinky_v185_replication/routing/summary.json
S25,D,source_index,,,,,,,,,,,source_data/pinky_v185_replication/cohort_manifest.csv
S25,D,source_index,,,,,,,,,,,source_data/pinky_v185_replication/routing/feedback_compression_curves.csv
S25,D,source_index,,,,,,,,,,,source_data/pinky_v185_replication/routing/k4_cross_animal_contrasts.csv
S25,D,source_index,,,,,,,,,,,source_data/pinky_v185_replication/routing/summary.json
