figure,panel,record_type,series,x_label,x,y,ci_low,ci_high,n,inferential_unit,interval_type,endpoint,source_table
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/RESULTS.md
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/completion_validation.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/excluded_runtime_smoke.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/figures/figure_provenance.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/figures/figure_source.csv
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/figures/native_design_validation.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/input_inventory.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/portable_dependency_provenance.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/portable_relocated_validation.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/portable_verification.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/protocol_freeze.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/attempt.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/audit.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/curves.csv
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/diagnostics.csv
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/matching_metadata.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/matching_states.npz
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/nested_metadata.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/nested_states.npz
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/quartet_metadata.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/quartet_states.npz
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211200/replay_validation.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211201/attempt.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211201/audit.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211201/curves.csv
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211201/diagnostics.csv
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211201/matching_metadata.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211201/matching_states.npz
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211201/nested_metadata.json
S16,A,source_index,,,,,,,,,,,source_data/credit_rule_extension/runs/seed_211201/nested_states.npz
