figure,panel,record_type,series,x_label,x,y,ci_low,ci_high,n,inferential_unit,interval_type,endpoint,source_table
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/all_trajectories.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_assignment_summary.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_matched_assignment_shape_contrasts.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_matched_shape_summary.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_norm_certificates.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_norm_summary.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_oracle_shape_summary.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_oracle_shapes.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_policy_outcomes.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_policy_summary.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_report.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_selected_norm_certificates.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_tie_changed_choices.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/audit_within_shape_assignments.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/candidate_outcomes.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/design/design_audit.md
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/design/figure_captions.md
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/export_manifest.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/freeze.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/policy_outcomes.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/policy_summary.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/protocol.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shape_summary.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_00.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_00_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_00_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_01.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_01_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_01_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_02.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_02_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_02_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_03.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_03_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_03_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_04.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_04_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_04_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_05.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_05_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_05_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_06.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_06_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_06_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_07.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_07_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_07_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_08.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_08_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_08_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_09.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_09_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_09_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_10.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_10_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_10_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_11.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_11_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_11_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_12.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_12_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_12_cuts.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_13.csv
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_13_audit.json
S12,A,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_13_cuts.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/all_trajectories.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_assignment_summary.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_matched_assignment_shape_contrasts.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_matched_shape_summary.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_norm_certificates.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_norm_summary.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_oracle_shape_summary.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_oracle_shapes.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_policy_outcomes.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_policy_summary.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_report.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_selected_norm_certificates.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_tie_changed_choices.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/audit_within_shape_assignments.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/candidate_outcomes.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/design/design_audit.md
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/design/figure_captions.md
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/export_manifest.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/freeze.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/policy_outcomes.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/policy_summary.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/protocol.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shape_summary.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_00.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_00_audit.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_00_cuts.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_01.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_01_audit.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_01_cuts.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_02.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_02_audit.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_02_cuts.json
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_03.csv
S12,B,source_index,,,,,,,,,,,source_data/morphology_structure/shards/shard_03_audit.json
