figure,panel,record_type,series,x_label,x,y,ci_low,ci_high,n,inferential_unit,interval_type,endpoint,source_table
S11,A,source_index,,,,,,,,,,,source_data/review_coefficient_encoder
S11,A,source_index,,,,,,,,,,,source_data/review_coefficient_hard_readout
S11,A,source_index,,,,,,,,,,,source_data/trained_subtree_address
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/README.md
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/canary/seed_51999.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/canary/seed_51999.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/condition_summary.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/paired_contrasts.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/protocol_freeze.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/report.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52000.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52000.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52001.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52001.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52002.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52002.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52003.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52003.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52004.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52004.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52005.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52005.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52006.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52006.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52007.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52007.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52008.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52008.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52009.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52009.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52010.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52010.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52011.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52011.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52012.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52012.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52013.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52013.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52014.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52014.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52015.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52015.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52016.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52016.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52017.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52017.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52018.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52018.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52019.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/runs/seed_52019.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_encoder/trajectories.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_hard_readout/README.md
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_hard_readout/condition_summary.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_hard_readout/paired_contrasts.csv
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_hard_readout/protocol_freeze.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_hard_readout/report.json
S11,B,source_index,,,,,,,,,,,source_data/review_coefficient_hard_readout/runs/seed_52000.csv
